trial,vaccine,manufacturer,time_period_start,time_period_end,discount_level,quantity
23,TT,PT_Bio,1,2,2,0.0
23,TT,PT_Bio,1,2,1,0.0
23,TT,PT_Bio,1,3,2,0.0
23,TT,PT_Bio,1,3,1,0.0
23,TT,PT_Bio,1,1,2,0.0
23,TT,PT_Bio,1,1,1,0.0
23,Penta,Serum_Institute,5,5,2,0.0
23,Penta,Serum_Institute,5,5,1,0.0
23,Penta,Serum_Institute,5,6,2,0.0
23,Penta,Serum_Institute,5,6,1,0.0
23,Penta,Serum_Institute,5,7,2,0.0
23,Penta,Serum_Institute,5,7,1,0.0
23,Penta,Serum_Institute,5,9,2,0.0
23,Penta,Serum_Institute,5,9,1,10402.0
23,Penta,Serum_Institute,5,8,2,0.0
23,Penta,Serum_Institute,5,8,1,5201.0
23,Penta,Serum_Institute,4,5,2,0.0
23,Penta,Serum_Institute,4,5,1,5201.0
23,Penta,Serum_Institute,4,4,2,0.0
23,Penta,Serum_Institute,4,4,1,5201.0
23,Penta,Serum_Institute,4,6,2,0.0
23,Penta,Serum_Institute,4,6,1,5201.0
23,Penta,Serum_Institute,4,7,2,0.0
23,Penta,Serum_Institute,4,7,1,5201.0
23,Penta,Serum_Institute,4,8,2,0.0
23,Penta,Serum_Institute,4,8,1,10402.0
23,Penta,Serum_Institute,6,6,2,0.0
23,Penta,Serum_Institute,6,6,1,0.0
23,Penta,Serum_Institute,6,7,2,0.0
23,Penta,Serum_Institute,6,7,1,0.0
23,Penta,Serum_Institute,6,10,2,0.0
23,Penta,Serum_Institute,6,10,1,15603.0
23,Penta,Serum_Institute,6,9,2,0.0
23,Penta,Serum_Institute,6,9,1,10402.0
23,Penta,Serum_Institute,6,8,2,0.0
23,Penta,Serum_Institute,6,8,1,5201.0
23,Penta,Serum_Institute,7,7,2,0.0
23,Penta,Serum_Institute,7,7,1,0.0
23,Penta,Serum_Institute,7,10,2,0.0
23,Penta,Serum_Institute,7,10,1,15603.0
23,Penta,Serum_Institute,7,9,2,0.0
23,Penta,Serum_Institute,7,9,1,10402.0
23,Penta,Serum_Institute,7,8,2,0.0
23,Penta,Serum_Institute,7,8,1,5201.0
23,Penta,Serum_Institute,2,5,2,0.0
23,Penta,Serum_Institute,2,5,1,15603.0
23,Penta,Serum_Institute,2,4,2,0.0
23,Penta,Serum_Institute,2,4,1,15603.0
23,Penta,Serum_Institute,2,6,2,0.0
23,Penta,Serum_Institute,2,6,1,15603.0
23,Penta,Serum_Institute,2,2,2,0.0
23,Penta,Serum_Institute,2,2,1,5201.0
23,Penta,Serum_Institute,2,3,2,0.0
23,Penta,Serum_Institute,2,3,1,10402.0
23,Penta,Serum_Institute,10,10,2,0.0
23,Penta,Serum_Institute,10,10,1,5201.0
23,Penta,Serum_Institute,9,10,2,0.0
23,Penta,Serum_Institute,9,10,1,10402.0
23,Penta,Serum_Institute,9,9,2,0.0
23,Penta,Serum_Institute,9,9,1,5201.0
23,Penta,Serum_Institute,8,10,2,0.0
23,Penta,Serum_Institute,8,10,1,15603.0
23,Penta,Serum_Institute,8,9,2,0.0
23,Penta,Serum_Institute,8,9,1,10402.0
23,Penta,Serum_Institute,8,8,2,0.0
23,Penta,Serum_Institute,8,8,1,5201.0
23,Penta,Serum_Institute,3,5,2,0.0
23,Penta,Serum_Institute,3,5,1,10402.0
23,Penta,Serum_Institute,3,4,2,0.0
23,Penta,Serum_Institute,3,4,1,10402.0
23,Penta,Serum_Institute,3,6,2,0.0
23,Penta,Serum_Institute,3,6,1,10402.0
23,Penta,Serum_Institute,3,7,2,0.0
23,Penta,Serum_Institute,3,7,1,10402.0
23,Penta,Serum_Institute,3,3,2,0.0
23,Penta,Serum_Institute,3,3,1,5201.0
23,Penta,Serum_Institute,1,5,2,0.0
23,Penta,Serum_Institute,1,5,1,0.0
23,Penta,Serum_Institute,1,4,2,0.0
23,Penta,Serum_Institute,1,4,1,0.0
23,Penta,Serum_Institute,1,2,2,0.0
23,Penta,Serum_Institute,1,2,1,0.0
23,Penta,Serum_Institute,1,3,2,0.0
23,Penta,Serum_Institute,1,3,1,15603.0
23,Penta,Serum_Institute,1,1,2,0.0
23,Penta,Serum_Institute,1,1,1,5201.0
23,Penta,LG_Chem,5,5,2,224700.0
23,Penta,LG_Chem,5,5,1,0.0
23,Penta,LG_Chem,5,6,2,408758.2459299995
23,Penta,LG_Chem,5,6,1,0.0
23,Penta,LG_Chem,5,7,2,633458.2459299995
23,Penta,LG_Chem,5,7,1,0.0
23,Penta,LG_Chem,5,9,2,1082858.2459299995
23,Penta,LG_Chem,5,9,1,0.0
23,Penta,LG_Chem,5,8,2,858158.2459299995
23,Penta,LG_Chem,5,8,1,0.0
23,Penta,LG_Chem,4,5,2,449400.0
23,Penta,LG_Chem,4,5,1,0.0
23,Penta,LG_Chem,4,4,2,224700.0
23,Penta,LG_Chem,4,4,1,0.0
23,Penta,LG_Chem,4,6,2,633458.2459299995
23,Penta,LG_Chem,4,6,1,0.0
23,Penta,LG_Chem,4,7,2,858158.2459299995
23,Penta,LG_Chem,4,7,1,0.0
23,Penta,LG_Chem,4,8,2,1082858.2459299995
23,Penta,LG_Chem,4,8,1,0.0
23,Penta,LG_Chem,6,6,2,184058.2459299995
23,Penta,LG_Chem,6,6,1,0.0
23,Penta,LG_Chem,6,7,2,408758.2459299995
23,Penta,LG_Chem,6,7,1,0.0
23,Penta,LG_Chem,6,10,2,1082858.2459299995
23,Penta,LG_Chem,6,10,1,0.0
23,Penta,LG_Chem,6,9,2,858158.2459299995
23,Penta,LG_Chem,6,9,1,0.0
23,Penta,LG_Chem,6,8,2,633458.2459299995
23,Penta,LG_Chem,6,8,1,0.0
23,Penta,LG_Chem,7,7,2,224700.0
23,Penta,LG_Chem,7,7,1,0.0
23,Penta,LG_Chem,7,10,2,898800.0
23,Penta,LG_Chem,7,10,1,0.0
23,Penta,LG_Chem,7,9,2,674100.0
23,Penta,LG_Chem,7,9,1,0.0
23,Penta,LG_Chem,7,8,2,449400.0
23,Penta,LG_Chem,7,8,1,0.0
23,Penta,LG_Chem,2,5,2,883740.0
23,Penta,LG_Chem,2,5,1,0.0
23,Penta,LG_Chem,2,4,2,659040.0
23,Penta,LG_Chem,2,4,1,0.0
23,Penta,LG_Chem,2,6,2,1067798.2459299995
23,Penta,LG_Chem,2,6,1,0.0
23,Penta,LG_Chem,2,2,2,209640.0
23,Penta,LG_Chem,2,2,1,0.0
23,Penta,LG_Chem,2,3,2,434340.0
23,Penta,LG_Chem,2,3,1,0.0
23,Penta,LG_Chem,10,10,2,224700.0
23,Penta,LG_Chem,10,10,1,0.0
23,Penta,LG_Chem,9,10,2,449400.0
23,Penta,LG_Chem,9,10,1,0.0
23,Penta,LG_Chem,9,9,2,224700.0
23,Penta,LG_Chem,9,9,1,0.0
23,Penta,LG_Chem,8,10,2,674100.0
