antigen,demand,probability,sid,demand_scenario,demand_scenario_probability
Hib,"[292457000, 315010000, 326207300, 332843200, 350062400, 362530200, 399440500, 394371600, 351868000, 351641500]",0.19200000000000006,Hib_S4,7,0.014819054930862012
Measles,"[469022600, 633948600, 381948400, 508862000, 957005600, 762304000, 903004600, 879614900, 493894200, 804120000]",0.14,Measles_S5,7,0.014819054930862012
Mumps,"[25298900, 35825600, 28309600, 34167200, 56941500, 34282800, 52971000, 61662700, 54703300, 79141000]",0.21800000000000008,Mumps_S2,7,0.014819054930862012
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.18000000000000005,PCV_S3,7,0.014819054930862012
Pertussis,"[330913600, 348707600, 372077900, 358905200, 359328000, 361641600, 392197100, 366714000, 428874500, 446770700]",0.2360000000000001,Pertussis_S1,7,0.014819054930862012
Polio,"[674623000, 620549000, 675000300, 664288500, 754280400, 831403500, 798232300, 929329300, 980424200, 648707300]",0.18200000000000005,Polio_S3,7,0.014819054930862012
Rotavirus,"[229454700, 235817300, 294116200, 205158400, 361673800, 442510100, 369726600, 502021600, 283587800, 884340400]",0.21800000000000008,Rotavirus_S4,7,0.014819054930862012
Rubella,"[390927600, 457092000, 573694500, 428027900, 569926600, 637772500, 778011200, 633986300, 266418600, 590737700]",0.16200000000000003,Rubella_S4,7,0.014819054930862012
Tetanus,"[629499200, 631449500, 590716800, 662222000, 654131200, 630990900, 743740500, 701074300, 765625500, 736675300]",0.2520000000000001,Tetanus_S1,7,0.014819054930862012
Diphtheria,"[650619400, 668568900, 665299400, 940140800, 691353300, 1036773300, 1076234300, 1605949600, 1965251300, 2985442000]",0.19200000000000006,Diphtheria_S3,8,0.044429501798715555
HPV,"[26621500, 38049900, 42725200, 46993500, 54230900, 60065400, 65293500, 74388900, 68226900, 92640900]",0.17600000000000005,HPV_S4,8,0.044429501798715555
Hepatitis_B,"[361450400, 362974100, 358595100, 337610100, 315879700, 420871000, 416656000, 397573900, 513788700, 311250900]",0.2240000000000001,Hepatitis_B_S3,8,0.044429501798715555
Hib,"[292457000, 315010000, 326207300, 332843200, 350062400, 362530200, 399440500, 394371600, 351868000, 351641500]",0.19200000000000006,Hib_S4,8,0.044429501798715555
Measles,"[396235400, 525423200, 507983700, 478856400, 600172200, 551044600, 684851800, 969568700, 991050500, 1391486700]",0.21800000000000008,Measles_S3,8,0.044429501798715555
Mumps,"[25298900, 35825600, 28309600, 34167200, 56941500, 34282800, 52971000, 61662700, 54703300, 79141000]",0.21800000000000008,Mumps_S2,8,0.044429501798715555
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.18000000000000005,PCV_S3,8,0.044429501798715555
Pertussis,"[337743900, 348076400, 389208800, 362459600, 384611400, 400571600, 420572500, 410935400, 338135500, 436767400]",0.16200000000000003,Pertussis_S5,8,0.044429501798715555
Polio,"[629319000, 636390100, 756892800, 753580500, 795712200, 761560800, 823600500, 812364000, 750291200, 951616700]",0.3320000000000001,Polio_S2,8,0.044429501798715555
Rotavirus,"[229454700, 235817300, 294116200, 205158400, 361673800, 442510100, 369726600, 502021600, 283587800, 884340400]",0.21800000000000008,Rotavirus_S4,8,0.044429501798715555
Rubella,"[375199800, 541952100, 425153100, 568072300, 445714300, 717977700, 625043900, 769890300, 719103700, 840127000]",0.18000000000000005,Rubella_S1,8,0.044429501798715555
Tetanus,"[661301900, 640875700, 698790600, 606645900, 707871300, 661886500, 558836400, 727439300, 873897800, 642777800]",0.14600000000000002,Tetanus_S4,8,0.044429501798715555
