unit,values,type,pair_idx,pair,pair_probability
Tetanus,"[629499200 631449500 590716800 662222000 654131200 630990900 743740500
 701074300 765625500 736675300]",antigen,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
AJ_Vaccines,"[7711003.0 7711003.0 7711003.0 7711003.0 7711003.0 7711003.0 7711003.0
 7711003.0 7711003.0 7711003.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
BB_NCIPD,"[39223956.0 39223956.0 39223956.0 39223956.0 39223956.0 39223956.0
 39223956.0 39223956.0 39223956.0 39223956.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Bharat_Biotech,"[61029105.0 61029105.0 61029105.0 61029105.0 61029105.0 61029105.0
 61029105.0 61029105.0 61029105.0 61029105.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Bilthoven,"[12048153.0 12048153.0 12048153.0 12048153.0 12048153.0 12048153.0
 12048153.0 12048153.0 12048153.0 12048153.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Biological_E,"[164885690.0 164885690.0 164885690.0 164885690.0 164885690.0 164885690.0
 164885690.0 164885690.0 164885690.0 164885690.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
China_National,"[12812242.0 12812242.0 12812242.0 12812242.0 12812242.0 12812242.0
 12812242.0 12812242.0 12812242.0 12812242.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
GSK,"[226762686.0 226762686.0 226762686.0 226762686.0 226762686.0 226762686.0
 226762686.0 226762686.0 226762686.0 226762686.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Haffkine_Bio,"[80972855.0 80972855.0 80972855.0 80972855.0 80972855.0 80972855.0
 80972855.0 80972855.0 80972855.0 80972855.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
LG_Chem,"[43702188.0 43702188.0 43702188.0 43702188.0 43702188.0 43702188.0
 43702188.0 43702188.0 43702188.0 43702188.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Merck_Sharp,"[56991052.0 56991052.0 56991052.0 56991052.0 56991052.0 56991052.0
 56991052.0 56991052.0 56991052.0 56991052.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Panacea_Biotec,"[10874165.0 45911731.0 45911731.0 45911731.0 45911731.0 45911731.0
 45911731.0 45911731.0 45911731.0 45911731.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Pfizer,"[83916974.0 10874165.0 10874165.0 10874165.0 10874165.0 10874165.0
 10874165.0 10874165.0 10874165.0 10874165.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
PT_Bio,"[45911731.0 83916974.0 83916974.0 83916974.0 83916974.0 83916974.0
 83916974.0 83916974.0 83916974.0 83916974.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
Sanofi,"[87429432.0 87429432.0 87429432.0 87429432.0 87429432.0 87429432.0
 87429432.0 87429432.0 87429432.0 87429432.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.31785874728748714
