antigen,demand,probability,sid,demand_scenario,demand_scenario_probability
Hepatitis_B,"[361450400, 362974100, 358595100, 337610100, 315879700, 420871000, 416656000, 397573900, 513788700, 311250900]",0.2400000000000001,Hepatitis_B_S3,3,0.011856266793043451
Hib,"[308462400, 308564000, 317849200, 348113400, 353835500, 364190100, 361704000, 387351100, 363068900, 408753500]",0.2480000000000001,Hib_S1,3,0.011856266793043451
Measles,"[558200700, 568584000, 470701300, 569931600, 693752000, 880470900, 794733300, 944858600, 1111350000, 635813500]",0.31600000000000006,Measles_S2,3,0.011856266793043451
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,3,0.011856266793043451
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.2520000000000001,PCV_S3,3,0.011856266793043451
Pertussis,"[376053500, 329574100, 385604700, 351618800, 410530100, 375193000, 363350500, 364705100, 397681100, 335678000]",0.19800000000000006,Pertussis_S2,3,0.011856266793043451
Polio,"[597194100, 677401000, 776170500, 676082100, 773974800, 869915700, 861400800, 863844100, 895666700, 960509500]",0.2320000000000001,Polio_S1,3,0.011856266793043451
Rotavirus,"[229454700, 235817300, 294116200, 205158400, 361673800, 442510100, 369726600, 502021600, 283587800, 884340400]",0.21800000000000008,Rotavirus_S4,3,0.011856266793043451
Rubella,"[375199800, 541952100, 425153100, 568072300, 445714300, 717977700, 625043900, 769890300, 719103700, 840127000]",0.28400000000000003,Rubella_S1,3,0.011856266793043451
Tetanus,"[661301900, 640875700, 698790600, 606645900, 707871300, 661886500, 558836400, 727439300, 873897800, 642777800]",0.15000000000000002,Tetanus_S4,3,0.011856266793043451
Diphtheria,"[690293000, 540644300, 663354000, 1033467400, 832363600, 964285900, 1484889200, 781961600, 1006661500, 241445000]",0.096,Diphtheria_S1,4,0.0022076740699209707
HPV,"[29278100, 34529800, 41314600, 46831600, 52100600, 61799200, 68661300, 71927100, 88594400, 94993400]",0.32000000000000006,HPV_S2,4,0.0022076740699209707
Hepatitis_B,"[410703700, 394726600, 455058800, 440667600, 324876000, 458683900, 473285200, 433237300, 448206300, 436645900]",0.21800000000000008,Hepatitis_B_S1,4,0.0022076740699209707
Hib,"[292457000, 315010000, 326207300, 332843200, 350062400, 362530200, 399440500, 394371600, 351868000, 351641500]",0.20800000000000007,Hib_S4,4,0.0022076740699209707
Measles,"[403209300, 477992600, 574350300, 589385100, 625684300, 571410200, 1164655200, 647187900, 942801300, 1502330400]",0.17000000000000004,Measles_S4,4,0.0022076740699209707
Mumps,"[25298900, 35825600, 28309600, 34167200, 56941500, 34282800, 52971000, 61662700, 54703300, 79141000]",0.29200000000000004,Mumps_S2,4,0.0022076740699209707
PCV,"[217304000, 262275300, 327108600, 328942400, 372129800, 353796500, 370562100, 492289800, 466028200, 179323800]",0.2440000000000001,PCV_S2,4,0.0022076740699209707
Pertussis,"[376053500, 329574100, 385604700, 351618800, 410530100, 375193000, 363350500, 364705100, 397681100, 335678000]",0.19800000000000006,Pertussis_S2,4,0.0022076740699209707
Polio,"[629319000, 636390100, 756892800, 753580500, 795712200, 761560800, 823600500, 812364000, 750291200, 951616700]",0.3520000000000001,Polio_S2,4,0.0022076740699209707
Rotavirus,"[176924600, 219261400, 246960500, 200506000, 250245900, 309212600, 359689500, 642248900, 549276900, 702456800]",0.2300000000000001,Rotavirus_S1,4,0.0022076740699209707
Rubella,"[390927600, 457092000, 573694500, 428027900, 569926600, 637772500, 778011200, 633986300, 266418600, 590737700]",0.18200000000000005,Rubella_S4,4,0.0022076740699209707
Tetanus,"[661301900, 640875700, 698790600, 606645900, 707871300, 661886500, 558836400, 727439300, 873897800, 642777800]",0.15000000000000002,Tetanus_S4,4,0.0022076740699209707
Diphtheria,"[596906900, 558336500, 812533400, 660834400, 686912400, 1059413800, 1410783900, 1252908300, 953910300, 1577938400]",0.3840000000000001,Diphtheria_S3,5,0.07916795136372183
HPV,"[29278100, 34529800, 41314600, 46831600, 52100600, 61799200, 68661300, 71927100, 88594400, 94993400]",0.32000000000000006,HPV_S2,5,0.07916795136372183
Hepatitis_B,"[361450400, 362974100, 358595100, 337610100, 315879700, 420871000, 416656000, 397573900, 513788700, 311250900]",0.2400000000000001,Hepatitis_B_S3,5,0.07916795136372183
Hib,"[316577600, 321711600, 337724800, 323457000, 360463500, 375263500, 362984500, 401432800, 409140000, 453740700]",0.268,Hib_S3,5,0.07916795136372183
Measles,"[558200700, 568584000, 470701300, 569931600, 693752000, 880470900, 794733300, 944858600, 1111350000, 635813500]",0.31600000000000006,Measles_S2,5,0.07916795136372183
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,5,0.07916795136372183
PCV,"[229980600, 255538100, 322750600, 318306500, 363296300, 369410900, 285323300, 435396500, 470226400, 530917400]",0.278,PCV_S1,5,0.07916795136372183
Pertussis,"[357621300, 377952200, 350446900, 353376700, 336929700, 391426500, 366153900, 441004100, 330439000, 377938400]",0.28,Pertussis_S3,5,0.07916795136372183
Polio,"[594500300, 683925100, 716534600, 768555600, 645396200, 685236300, 734718200, 992189000, 1016570100, 1182731700]",0.20400000000000007,Polio_S4,5,0.07916795136372183
Rotavirus,"[185622400, 219556000, 256011100, 228026000, 455555300, 366778100, 385080400, 482266900, 714517200, 1041382600]",0.278,Rotavirus_S2,5,0.07916795136372183
Rubella,"[375199800, 541952100, 425153100, 568072300, 445714300, 717977700, 625043900, 769890300, 719103700, 840127000]",0.28400000000000003,Rubella_S1,5,0.07916795136372183
Tetanus,"[629499200, 631449500, 590716800, 662222000, 654131200, 630990900, 743740500, 701074300, 765625500, 736675300]",0.30200000000000005,Tetanus_S1,5,0.07916795136372183
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.41200000000000014,Diphtheria_S2,6,0.009154347197221043
HPV,"[27408100, 36795300, 44960900, 42153100, 54014700, 57247900, 67205500, 74837800, 78713600, 88601800]",0.17000000000000004,HPV_S1,6,0.009154347197221043
Hepatitis_B,"[363112900, 315988000, 433055200, 395040000, 471817400, 361261800, 403415800, 437080000, 512217000, 499379600]",0.2400000000000001,Hepatitis_B_S4,6,0.009154347197221043
Hib,"[316577600, 321711600, 337724800, 323457000, 360463500, 375263500, 362984500, 401432800, 409140000, 453740700]",0.268,Hib_S3,6,0.009154347197221043
Measles,"[396235400, 525423200, 507983700, 478856400, 600172200, 551044600, 684851800, 969568700, 991050500, 1391486700]",0.2220000000000001,Measles_S3,6,0.009154347197221043
Mumps,"[25298900, 35825600, 28309600, 34167200, 56941500, 34282800, 52971000, 61662700, 54703300, 79141000]",0.29200000000000004,Mumps_S2,6,0.009154347197221043
PCV,"[217608200, 267216900, 253205600, 301483300, 300469200, 342484400, 447616200, 324915700, 327715900, 505043600]",0.2260000000000001,PCV_S4,6,0.009154347197221043
Pertussis,"[330913600, 348707600, 372077900, 358905200, 359328000, 361641600, 392197100, 366714000, 428874500, 446770700]",0.30400000000000005,Pertussis_S1,6,0.009154347197221043
Polio,"[594500300, 683925100, 716534600, 768555600, 645396200, 685236300, 734718200, 992189000, 1016570100, 1182731700]",0.20400000000000007,Polio_S4,6,0.009154347197221043
Rotavirus,"[201197500, 175155800, 196664100, 220157400, 319305100, 338422000, 450422500, 421255000, 854993100, 366912800]",0.274,Rotavirus_S3,6,0.009154347197221043
Rubella,"[390927600, 457092000, 573694500, 428027900, 569926600, 637772500, 778011200, 633986300, 266418600, 590737700]",0.18200000000000005,Rubella_S4,6,0.009154347197221043
Tetanus,"[661301900, 640875700, 698790600, 606645900, 707871300, 661886500, 558836400, 727439300, 873897800, 642777800]",0.15000000000000002,Tetanus_S4,6,0.009154347197221043
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.41200000000000014,Diphtheria_S2,7,0.021898558191530006
HPV,"[29278100, 34529800, 41314600, 46831600, 52100600, 61799200, 68661300, 71927100, 88594400, 94993400]",0.32000000000000006,HPV_S2,7,0.021898558191530006
Hepatitis_B,"[367899800, 397096100, 371863600, 396265400, 481334800, 460819700, 394718400, 307416400, 352012500, 467247100]",0.30200000000000005,Hepatitis_B_S2,7,0.021898558191530006
Hib,"[292457000, 315010000, 326207300, 332843200, 350062400, 362530200, 399440500, 394371600, 351868000, 351641500]",0.20800000000000007,Hib_S4,7,0.021898558191530006
Measles,"[558200700, 568584000, 470701300, 569931600, 693752000, 880470900, 794733300, 944858600, 1111350000, 635813500]",0.31600000000000006,Measles_S2,7,0.021898558191530006
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,7,0.021898558191530006
PCV,"[229980600, 255538100, 322750600, 318306500, 363296300, 369410900, 285323300, 435396500, 470226400, 530917400]",0.278,PCV_S1,7,0.021898558191530006
Pertussis,"[376053500, 329574100, 385604700, 351618800, 410530100, 375193000, 363350500, 364705100, 397681100, 335678000]",0.19800000000000006,Pertussis_S2,7,0.021898558191530006
Polio,"[594500300, 683925100, 716534600, 768555600, 645396200, 685236300, 734718200, 992189000, 1016570100, 1182731700]",0.20400000000000007,Polio_S4,7,0.021898558191530006
Rotavirus,"[176924600, 219261400, 246960500, 200506000, 250245900, 309212600, 359689500, 642248900, 549276900, 702456800]",0.2300000000000001,Rotavirus_S1,7,0.021898558191530006
Rubella,"[354209400, 444952700, 440196700, 602098200, 602205300, 567084600, 437763600, 605256900, 851193600, 458658300]",0.258,Rubella_S2,7,0.021898558191530006
Tetanus,"[661301900, 640875700, 698790600, 606645900, 707871300, 661886500, 558836400, 727439300, 873897800, 642777800]",0.15000000000000002,Tetanus_S4,7,0.021898558191530006
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.41200000000000014,Diphtheria_S2,8,0.027016108781653073
HPV,"[29278100, 34529800, 41314600, 46831600, 52100600, 61799200, 68661300, 71927100, 88594400, 94993400]",0.32000000000000006,HPV_S2,8,0.027016108781653073
Hepatitis_B,"[410703700, 394726600, 455058800, 440667600, 324876000, 458683900, 473285200, 433237300, 448206300, 436645900]",0.21800000000000008,Hepatitis_B_S1,8,0.027016108781653073
Hib,"[316577600, 321711600, 337724800, 323457000, 360463500, 375263500, 362984500, 401432800, 409140000, 453740700]",0.268,Hib_S3,8,0.027016108781653073
Measles,"[520688600, 599384600, 741765500, 584291600, 610795400, 751325700, 699010900, 831020100, 825941600, 1061105100]",0.29200000000000004,Measles_S1,8,0.027016108781653073
Mumps,"[20805100, 27986400, 29062300, 31362300, 32914000, 34978900, 49196300, 36209300, 95135900, 77415800]",0.20000000000000007,Mumps_S3,8,0.027016108781653073
PCV,"[217304000, 262275300, 327108600, 328942400, 372129800, 353796500, 370562100, 492289800, 466028200, 179323800]",0.2440000000000001,PCV_S2,8,0.027016108781653073
Pertussis,"[376053500, 329574100, 385604700, 351618800, 410530100, 375193000, 363350500, 364705100, 397681100, 335678000]",0.19800000000000006,Pertussis_S2,8,0.027016108781653073
Polio,"[597194100, 677401000, 776170500, 676082100, 773974800, 869915700, 861400800, 863844100, 895666700, 960509500]",0.2320000000000001,Polio_S1,8,0.027016108781653073
Rotavirus,"[176924600, 219261400, 246960500, 200506000, 250245900, 309212600, 359689500, 642248900, 549276900, 702456800]",0.2300000000000001,Rotavirus_S1,8,0.027016108781653073
Rubella,"[354209400, 444952700, 440196700, 602098200, 602205300, 567084600, 437763600, 605256900, 851193600, 458658300]",0.258,Rubella_S2,8,0.027016108781653073
Tetanus,"[629499200, 631449500, 590716800, 662222000, 654131200, 630990900, 743740500, 701074300, 765625500, 736675300]",0.30200000000000005,Tetanus_S1,8,0.027016108781653073
Diphtheria,"[596906900, 558336500, 812533400, 660834400, 686912400, 1059413800, 1410783900, 1252908300, 953910300, 1577938400]",0.3840000000000001,Diphtheria_S3,9,0.08706761561699072
HPV,"[26509800, 35593800, 41761900, 46914800, 51357500, 59171600, 66488200, 73483500, 84634900, 80794100]",0.31000000000000005,HPV_S3,9,0.08706761561699072
Hepatitis_B,"[367899800, 397096100, 371863600, 396265400, 481334800, 460819700, 394718400, 307416400, 352012500, 467247100]",0.30200000000000005,Hepatitis_B_S2,9,0.08706761561699072
Hib,"[296797500, 286435900, 324747800, 327110000, 358279900, 386356000, 373120300, 367969400, 422523900, 380845900]",0.276,Hib_S2,9,0.08706761561699072
Measles,"[520688600, 599384600, 741765500, 584291600, 610795400, 751325700, 699010900, 831020100, 825941600, 1061105100]",0.29200000000000004,Measles_S1,9,0.08706761561699072
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,9,0.08706761561699072
PCV,"[217304000, 262275300, 327108600, 328942400, 372129800, 353796500, 370562100, 492289800, 466028200, 179323800]",0.2440000000000001,PCV_S2,9,0.08706761561699072
Pertussis,"[355092700, 355017700, 382913500, 346050200, 324302200, 373866000, 390207300, 358433200, 438275500, 333775300]",0.21800000000000008,Pertussis_S4,9,0.08706761561699072
Polio,"[629319000, 636390100, 756892800, 753580500, 795712200, 761560800, 823600500, 812364000, 750291200, 951616700]",0.3520000000000001,Polio_S2,9,0.08706761561699072
Rotavirus,"[176924600, 219261400, 246960500, 200506000, 250245900, 309212600, 359689500, 642248900, 549276900, 702456800]",0.2300000000000001,Rotavirus_S1,9,0.08706761561699072
Rubella,"[309860900, 475793600, 289321200, 346819600, 619977400, 600887700, 656546100, 670139400, 781452000, 1090014900]",0.276,Rubella_S3,9,0.08706761561699072
Tetanus,"[629499200, 631449500, 590716800, 662222000, 654131200, 630990900, 743740500, 701074300, 765625500, 736675300]",0.30200000000000005,Tetanus_S1,9,0.08706761561699072
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.41200000000000014,Diphtheria_S2,10,0.02587393235310752
HPV,"[27408100, 36795300, 44960900, 42153100, 54014700, 57247900, 67205500, 74837800, 78713600, 88601800]",0.17000000000000004,HPV_S1,10,0.02587393235310752
Hepatitis_B,"[367899800, 397096100, 371863600, 396265400, 481334800, 460819700, 394718400, 307416400, 352012500, 467247100]",0.30200000000000005,Hepatitis_B_S2,10,0.02587393235310752
Hib,"[292457000, 315010000, 326207300, 332843200, 350062400, 362530200, 399440500, 394371600, 351868000, 351641500]",0.20800000000000007,Hib_S4,10,0.02587393235310752
Measles,"[558200700, 568584000, 470701300, 569931600, 693752000, 880470900, 794733300, 944858600, 1111350000, 635813500]",0.31600000000000006,Measles_S2,10,0.02587393235310752
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,10,0.02587393235310752
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.2520000000000001,PCV_S3,10,0.02587393235310752
Pertussis,"[355092700, 355017700, 382913500, 346050200, 324302200, 373866000, 390207300, 358433200, 438275500, 333775300]",0.21800000000000008,Pertussis_S4,10,0.02587393235310752
Polio,"[674623000, 620549000, 675000300, 664288500, 754280400, 831403500, 798232300, 929329300, 980424200, 648707300]",0.21200000000000008,Polio_S3,10,0.02587393235310752
Rotavirus,"[201197500, 175155800, 196664100, 220157400, 319305100, 338422000, 450422500, 421255000, 854993100, 366912800]",0.274,Rotavirus_S3,10,0.02587393235310752
Rubella,"[354209400, 444952700, 440196700, 602098200, 602205300, 567084600, 437763600, 605256900, 851193600, 458658300]",0.258,Rubella_S2,10,0.02587393235310752
Tetanus,"[649813800, 621341400, 724413900, 721858700, 673652300, 688070200, 637263500, 692825800, 620957100, 607789000]",0.27,Tetanus_S2,10,0.02587393235310752
Diphtheria,"[596906900, 558336500, 812533400, 660834400, 686912400, 1059413800, 1410783900, 1252908300, 953910300, 1577938400]",0.3840000000000001,Diphtheria_S3,11,0.024977431709116846
HPV,"[29278100, 34529800, 41314600, 46831600, 52100600, 61799200, 68661300, 71927100, 88594400, 94993400]",0.32000000000000006,HPV_S2,11,0.024977431709116846
Hepatitis_B,"[367899800, 397096100, 371863600, 396265400, 481334800, 460819700, 394718400, 307416400, 352012500, 467247100]",0.30200000000000005,Hepatitis_B_S2,11,0.024977431709116846
Hib,"[296797500, 286435900, 324747800, 327110000, 358279900, 386356000, 373120300, 367969400, 422523900, 380845900]",0.276,Hib_S2,11,0.024977431709116846
Measles,"[403209300, 477992600, 574350300, 589385100, 625684300, 571410200, 1164655200, 647187900, 942801300, 1502330400]",0.17000000000000004,Measles_S4,11,0.024977431709116846
Mumps,"[20805100, 27986400, 29062300, 31362300, 32914000, 34978900, 49196300, 36209300, 95135900, 77415800]",0.20000000000000007,Mumps_S3,11,0.024977431709116846
PCV,"[217304000, 262275300, 327108600, 328942400, 372129800, 353796500, 370562100, 492289800, 466028200, 179323800]",0.2440000000000001,PCV_S2,11,0.024977431709116846
Pertussis,"[357621300, 377952200, 350446900, 353376700, 336929700, 391426500, 366153900, 441004100, 330439000, 377938400]",0.28,Pertussis_S3,11,0.024977431709116846
Polio,"[594500300, 683925100, 716534600, 768555600, 645396200, 685236300, 734718200, 992189000, 1016570100, 1182731700]",0.20400000000000007,Polio_S4,11,0.024977431709116846
Rotavirus,"[229454700, 235817300, 294116200, 205158400, 361673800, 442510100, 369726600, 502021600, 283587800, 884340400]",0.21800000000000008,Rotavirus_S4,11,0.024977431709116846
Rubella,"[375199800, 541952100, 425153100, 568072300, 445714300, 717977700, 625043900, 769890300, 719103700, 840127000]",0.28400000000000003,Rubella_S1,11,0.024977431709116846
Tetanus,"[609169300, 660966800, 613254200, 610941500, 740616500, 723857000, 682591200, 680463400, 718420600, 828807600]",0.278,Tetanus_S3,11,0.024977431709116846
Diphtheria,"[654233900, 836474800, 765804800, 925613800, 851169600, 917181600, 1346325300, 1152974500, 669109400, -2147483648]",0.41200000000000014,Diphtheria_S2,12,0.0430432173308638
HPV,"[26509800, 35593800, 41761900, 46914800, 51357500, 59171600, 66488200, 73483500, 84634900, 80794100]",0.31000000000000005,HPV_S3,12,0.0430432173308638
Hepatitis_B,"[410703700, 394726600, 455058800, 440667600, 324876000, 458683900, 473285200, 433237300, 448206300, 436645900]",0.21800000000000008,Hepatitis_B_S1,12,0.0430432173308638
Hib,"[292457000, 315010000, 326207300, 332843200, 350062400, 362530200, 399440500, 394371600, 351868000, 351641500]",0.20800000000000007,Hib_S4,12,0.0430432173308638
Measles,"[403209300, 477992600, 574350300, 589385100, 625684300, 571410200, 1164655200, 647187900, 942801300, 1502330400]",0.17000000000000004,Measles_S4,12,0.0430432173308638
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,12,0.0430432173308638
PCV,"[228025000, 270527400, 333973500, 349599500, 355922500, 316447400, 486664800, 392780800, 529487100, 752423700]",0.2520000000000001,PCV_S3,12,0.0430432173308638
Pertussis,"[330913600, 348707600, 372077900, 358905200, 359328000, 361641600, 392197100, 366714000, 428874500, 446770700]",0.30400000000000005,Pertussis_S1,12,0.0430432173308638
Polio,"[629319000, 636390100, 756892800, 753580500, 795712200, 761560800, 823600500, 812364000, 750291200, 951616700]",0.3520000000000001,Polio_S2,12,0.0430432173308638
Rotavirus,"[185622400, 219556000, 256011100, 228026000, 455555300, 366778100, 385080400, 482266900, 714517200, 1041382600]",0.278,Rotavirus_S2,12,0.0430432173308638
Rubella,"[354209400, 444952700, 440196700, 602098200, 602205300, 567084600, 437763600, 605256900, 851193600, 458658300]",0.258,Rubella_S2,12,0.0430432173308638
Tetanus,"[649813800, 621341400, 724413900, 721858700, 673652300, 688070200, 637263500, 692825800, 620957100, 607789000]",0.27,Tetanus_S2,12,0.0430432173308638
Diphtheria,"[596906900, 558336500, 812533400, 660834400, 686912400, 1059413800, 1410783900, 1252908300, 953910300, 1577938400]",0.3840000000000001,Diphtheria_S3,13,0.06484651507619729
HPV,"[29278100, 34529800, 41314600, 46831600, 52100600, 61799200, 68661300, 71927100, 88594400, 94993400]",0.32000000000000006,HPV_S2,13,0.06484651507619729
Hepatitis_B,"[361450400, 362974100, 358595100, 337610100, 315879700, 420871000, 416656000, 397573900, 513788700, 311250900]",0.2400000000000001,Hepatitis_B_S3,13,0.06484651507619729
Hib,"[316577600, 321711600, 337724800, 323457000, 360463500, 375263500, 362984500, 401432800, 409140000, 453740700]",0.268,Hib_S3,13,0.06484651507619729
Measles,"[520688600, 599384600, 741765500, 584291600, 610795400, 751325700, 699010900, 831020100, 825941600, 1061105100]",0.29200000000000004,Measles_S1,13,0.06484651507619729
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,13,0.06484651507619729
PCV,"[217304000, 262275300, 327108600, 328942400, 372129800, 353796500, 370562100, 492289800, 466028200, 179323800]",0.2440000000000001,PCV_S2,13,0.06484651507619729
Pertussis,"[357621300, 377952200, 350446900, 353376700, 336929700, 391426500, 366153900, 441004100, 330439000, 377938400]",0.28,Pertussis_S3,13,0.06484651507619729
Polio,"[674623000, 620549000, 675000300, 664288500, 754280400, 831403500, 798232300, 929329300, 980424200, 648707300]",0.21200000000000008,Polio_S3,13,0.06484651507619729
Rotavirus,"[185622400, 219556000, 256011100, 228026000, 455555300, 366778100, 385080400, 482266900, 714517200, 1041382600]",0.278,Rotavirus_S2,13,0.06484651507619729
Rubella,"[309860900, 475793600, 289321200, 346819600, 619977400, 600887700, 656546100, 670139400, 781452000, 1090014900]",0.276,Rubella_S3,13,0.06484651507619729
Tetanus,"[629499200, 631449500, 590716800, 662222000, 654131200, 630990900, 743740500, 701074300, 765625500, 736675300]",0.30200000000000005,Tetanus_S1,13,0.06484651507619729
Diphtheria,"[596906900, 558336500, 812533400, 660834400, 686912400, 1059413800, 1410783900, 1252908300, 953910300, 1577938400]",0.3840000000000001,Diphtheria_S3,14,0.032240154233440926
HPV,"[26621500, 38049900, 42725200, 46993500, 54230900, 60065400, 65293500, 74388900, 68226900, 92640900]",0.20000000000000007,HPV_S4,14,0.032240154233440926
Hepatitis_B,"[361450400, 362974100, 358595100, 337610100, 315879700, 420871000, 416656000, 397573900, 513788700, 311250900]",0.2400000000000001,Hepatitis_B_S3,14,0.032240154233440926
Hib,"[316577600, 321711600, 337724800, 323457000, 360463500, 375263500, 362984500, 401432800, 409140000, 453740700]",0.268,Hib_S3,14,0.032240154233440926
Measles,"[558200700, 568584000, 470701300, 569931600, 693752000, 880470900, 794733300, 944858600, 1111350000, 635813500]",0.31600000000000006,Measles_S2,14,0.032240154233440926
Mumps,"[22927300, 20932900, 31158300, 29486900, 34069800, 45473700, 44507600, 44743800, 56776500, 52293200]",0.28,Mumps_S1,14,0.032240154233440926
PCV,"[229980600, 255538100, 322750600, 318306500, 363296300, 369410900, 285323300, 435396500, 470226400, 530917400]",0.278,PCV_S1,14,0.032240154233440926
