model,dimension,category,mean,std,variance,min,max,n
UG-Penta Hexa,manufacturer,Haffkine_Bio,81200.0,0.0,0.0,81200.0,81200.0,30
UG-Penta Hexa,manufacturer,LG_Chem,20443275.687204998,315285.6029828802,99405011448.27837,19736510.0,20747660.0,30
UG-Penta Hexa,manufacturer,Merck_Sharp,29223.11776545817,10901.427711211105,118841126.1427614,0.7708828476188766,50418.07500000001,30
UG-Penta Hexa,manufacturer,PT_Bio,4788851.882654999,71130.6693846961,5059572127.1149435,4637334.0,4877178.0,30
UG-Penta Hexa,manufacturer,Panacea_Biotec,7445722.0,220517.7635837984,48628084056.0,7265670.0,7715800.0,30
UG-Penta Hexa,manufacturer,Pfizer,2.7959392353125856,0.0036731581185936698,1.3492090564190588e-05,2.7952571469735754,2.8157197971438777,30
UG-Penta Hexa,manufacturer,Sanofi,728161.0,5624.028449430177,31629696.0,721273.0,732753.0,30
UG-Penta Hexa,manufacturer,Serum_Institute,505143.6290000003,15430.938241791504,238113855.02198347,487853.8000000001,525301.0000000001,30
SB-Penta Hexa,total,total,66152624.73554396,891369.9741253953,794540430772.3079,64024281.69999999,67486684.3994667,27
SB-Penta Hexa,vaccine,DT,1277638.4228981438,120718.79735130943,14573028033.946512,967050.3426600014,1509588.0,27
SB-Penta Hexa,vaccine,DTwP,827684.4745005786,201346.12526559868,40540262159.47015,477725.5,1090164.1,27
SB-Penta Hexa,vaccine,DTwP-Hib,413999.60000000003,58279.22774792123,3396468386.8940716,277733.4,514899.0,27
SB-Penta Hexa,vaccine,HPV,192742.0544444444,36774.40053063426,1352356534.3875132,122449.41500000001,277268.70999999996,27
SB-Penta Hexa,vaccine,HepB,60100.00000000009,4.150155123679525e-10,1.7223787550603415e-19,60100.0,60100.0000000022,27
SB-Penta Hexa,vaccine,Hexa,898044.0,2.240413913152591e-11,5.019454502247705e-22,898043.9999999999,898044.0,27
SB-Penta Hexa,vaccine,IPV,14586897.705914445,329406.031535486,108508333611.95761,13611393.0,14889355.0,27
SB-Penta Hexa,vaccine,OPV,3719264.5364846494,823884.616429251,678785861188.774,2433197.0,5358741.0,27
SB-Penta Hexa,vaccine,PCV,84941.11111111112,35319.08080819493,1247437469.1358032,60100.0,175710.0,27
SB-Penta Hexa,vaccine,Penta,40542146.50923649,197550.9376187291,39026372954.038994,40165110.0,40954205.9,27
SB-Penta Hexa,vaccine,Rotavirus,1047490.7086496295,139652.7138080355,19502880473.94907,793260.0,1307919.9999999998,27
SB-Penta Hexa,vaccine,TT,416949.10816111084,163013.07654674776,26573263125.235844,89566.0,661338.0,27
SB-Penta Hexa,vaccine,Td,2084726.5041433454,199532.99921134545,39813417774.27478,1539191.9789031995,2374012.74802,27
SB-Penta Hexa,manufacturer,AJ_Vaccines,1043710.8856751852,137431.0945849059,18887305758.80535,540900.0,1098800.0000000005,27
SB-Penta Hexa,manufacturer,BB_NCIPD,669143.2222222222,33584.00212770331,1127885198.9135804,541534.0,683571.0000000002,27
SB-Penta Hexa,manufacturer,Bharat_Biotech,1031302.9629629628,105554.57604743702,11141768524.554165,850780.0,1279239.9999999995,27
SB-Penta Hexa,manufacturer,Bilthoven,601301.8518518518,11912.27565939688,141902311.3854594,540900.0,604250.0,27
SB-Penta Hexa,manufacturer,Biological_E,5979326.575532919,202786.93589738954,41122541370.65197,5623574.999999999,6439190.727480004,27
SB-Penta Hexa,manufacturer,China_National,447966.375,44277.873673397946,1960530097.037387,398000.0,545080.0,27
SB-Penta Hexa,manufacturer,GSK,755538.1481481482,140516.3540775141,19744845763.23731,553190.0,1033250.0,27
SB-Penta Hexa,manufacturer,Haffkine_Bio,80839.11111111111,2224.668520182581,4949150.0246913545,73080.0,82012.0,27
SB-Penta Hexa,manufacturer,LG_Chem,34201597.338757776,279534.87791521096,78139747971.07188,33211200.0,34334700.0,27
SB-Penta Hexa,manufacturer,Merck_Sharp,105463.8275925926,24784.073438813874,614250296.2205194,39200.0,176400.0,27
SB-Penta Hexa,manufacturer,PT_Bio,7679242.047365075,63855.090040238574,4077472524.046975,7603742.000000001,7853158.0,27
SB-Penta Hexa,manufacturer,Panacea_Biotec,11516088.133768555,637537.9665249615,406454658760.78296,10564500.0,12776160.0,27
SB-Penta Hexa,manufacturer,Pfizer,84941.11111111112,35319.08080819493,1247437469.1358032,60100.0,175710.0,27
SB-Penta Hexa,manufacturer,Sanofi,1141166.4444444445,1794.6284735356005,3220691.3580247196,1137402.0,1142022.0000000005,27
SB-Penta Hexa,manufacturer,Serum_Institute,814996.7000000001,4.05137214068888e-10,1.6413616222349997e-19,814996.6999999996,814996.7000000015,27
MP-Penta Hexa,total,total,77648782.16666669,97871.7354690075,9578876603.71538,77377620.7,77702900.70000005,30
MP-Penta Hexa,vaccine,DT,1557800.0,0.0,0.0,1557800.0,1557800.0,30
MP-Penta Hexa,vaccine,DTwP,838588.0,0.0,0.0,838588.0,838588.0,30
MP-Penta Hexa,vaccine,DTwP-Hib,59291.39999999999,2.1827872842550278e-11,4.764560328305439e-22,59291.40000000001,59291.40000000001,30
MP-Penta Hexa,vaccine,HPV,2684880.8592753336,108112.50166328822,11688313015.894499,2615744.0,2932782.6255899994,30
MP-Penta Hexa,vaccine,HepB,60100.00000000019,2.163297721900527e-10,4.6798570335800094e-20,60100.0,60100.00000000044,30
MP-Penta Hexa,vaccine,Hexa,1367398.6333333333,3620.4956795383077,13107988.965555552,1365031.0,1373788.0,30
MP-Penta Hexa,vaccine,IPV,14931119.366666667,3620.4956795383077,13107988.965555552,14924730.0,14933487.0,30
MP-Penta Hexa,vaccine,OPV,3936971.3863189993,1519825.3585725836,2309869120560.282,1054270.0,5093704.000000018,30
MP-Penta Hexa,vaccine,PCV,1507729.1503043328,17732.147940711577,314429070.59128183,1494282.2999999998,1536982.2999999998,30
MP-Penta Hexa,vaccine,Penta,47474717.34792333,1003819.0650176263,1007652715292.8613,46769334.0,49455674.0,30
MP-Penta Hexa,vaccine,Rotavirus,2056968.6666666667,31436.489915736813,988252898.2222222,1986480.0,2072900.0,30
MP-Penta Hexa,vaccine,TT,216863.18019666674,211028.2226063972,44532910736.41513,37234.000000000015,474078.0000000001,30
