model,variable,category,mean,std,variance,ci95,min,max,n
SB-1,S,Rotavirus,1102565.296627333,157137.7452191256,24692270972.550823,56231.019958782905,843938.9099999996,1497855.239999999,30
SB-1,S,Tetanus,1036310.7053138452,416384.8275521819,173376324615.66025,149001.39693344268,25331.7059299986,1918171.3059299998,30
SB-with ROI,I,TOTAL,460897136442.7364,1798349058917.1365,3.2340593377081505e+24,643530945946.907,1226493.2216869998,8888703491450.07,30
SB-with ROI,I,DT,21032.153059810345,9024.728261410002,81445720.1922924,3229.4575328307096,8256.220834999996,43685.31175000024,30
SB-with ROI,I,DTwP,3738.303830793471,4051.5894998015115,16415377.47490186,1449.8426823576754,0.0,13433.957756000027,30
SB-with ROI,I,DTwP-Hib,5146.4510371999995,4868.893620449375,23706125.08725262,1742.3112057952376,0.0,16102.197594000001,30
SB-with ROI,I,HPV,205035.43164999998,18144.85723134638,329235843.94594306,6493.05377076851,150203.73599999998,236621.37249999997,30
SB-with ROI,I,HepB,31779.94437700067,19633.70838354163,385482504.8899529,7025.832313174107,0.0,57041.089470009865,30
SB-with ROI,I,Hexa,3698.3782662999897,4976.151142643581,24762080.19443302,1780.6928171822512,0.0,16119.578954999914,30
SB-with ROI,I,IPV,22907.289197933325,9984.543172391059,99691102.36134091,3572.9228876431466,6824.599141999997,37811.16355899999,30
SB-with ROI,I,OPV,9130.699625199928,8244.14987956798,67966007.23678075,2950.131146242016,0.0,21359.166021,30
SB-with ROI,I,PCV,460896793426.1868,1798349058409.5164,3.234059335882394e+24,643530945765.2574,902811.8019999999,8888703147559.73,30
SB-with ROI,I,Penta,29798.841178999246,11459.222962512174,131313790.9045663,4100.630273258742,10228.419779999998,62667.785122000205,30
SB-with ROI,I,Rotavirus,7736.528041200072,2606.9213738712488,6796039.04954676,932.8748328462725,3532.79,14487.813000000004,30
SB-with ROI,I,TT,324.1440542000115,636.8012682628201,405515.8552611362,227.87640725995755,0.0,2304.78,30
SB-with ROI,I,Td,2688.3851163954923,2799.6162036407322,7837850.887687746,1001.829792099457,0.0,10851.743221000002,30
SB-with ROI,S,TOTAL,3320786.0315984464,567141.0577600724,321648979397.2138,202948.82107338757,2169842.7547297515,4293559.776269957,30
SB-with ROI,S,Diphtheria,923147.7298042286,416196.0922732232,173219187223.50134,148933.85888125002,78314.12200846168,1725939.595929999,30
SB-with ROI,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-with ROI,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-with ROI,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-with ROI,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
SB-with ROI,S,Pertussis,3626.1486666666665,11456.698178775512,131255933.15955813,4099.726791001885,0.0,47320.28999999998,30
SB-with ROI,S,Polio,59142.34461699836,135651.36905019658,18401293925.19263,48542.21899303053,0.0,681443.3744099989,30
SB-with ROI,S,Rotavirus,1156158.6320683323,175523.372208053,30808454191.28672,62810.23208078098,837685.7199999994,1474410.4899999993,30
SB-with ROI,S,Tetanus,1178711.17644222,411303.70641999395,169170738914.82455,147183.1410879192,214405.10592999935,2076164.6459299992,30
