model,variable,category,mean,std,variance,ci95,min,max,n
UG-2,I,Penta,28149.722797000002,7957.610171462177,63323559.6409583,2847.5942285650262,19855.818175999997,46721.617527999995,30
UG-2,I,Rotavirus,8366.6699412,1893.634527953634,3585851.7254581824,677.6284131321569,5908.789999999999,10301.29355899999,30
UG-2,I,TT,373.4973875333308,695.0645766834176,483114.7657600986,248.7256644138943,0.0,2485.46,30
UG-2,I,Td,9658.004052000002,6875.259133003222,47269188.145944215,2460.27988368166,2769.799759,33952.277849999984,30
UG-2,S,TOTAL,3569811.85119,575093.5285041941,330732566527.4043,205794.5761814984,2451550.29034,4568538.776269999,30
UG-2,S,Diphtheria,871244.7443370001,413024.4384788752,170589186780.7902,147798.89714711264,58858.74999999991,1661861.5959299998,30
UG-2,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,S,Hib,501.3545419999898,2699.876835475383,7289334.926736567,966.1385175800139,0.0,15040.636259999694,30
UG-2,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2,S,Pertussis,3914.400666666664,12628.494044291245,159478861.82669944,4519.048556180266,0.0,53512.21999999997,30
UG-2,S,Polio,165234.7533519999,212559.5517313159,45181563032.217964,76063.45871366629,0.0,948843.37441,30
UG-2,S,Rotavirus,1419481.7263623334,188235.88248878776,35432747456.33271,67359.34546105382,1149519.74,1845360.49,30
UG-2,S,Tetanus,1109434.8719300001,405779.0785876945,164656660619.47836,145206.17840801267,169938.10592999996,2013014.6459299996,30
SB-1,I,TOTAL,1488866.6396474077,439407.2814101763,193078758956.2819,165745.382641284,1159179.1107909998,3658153.8475360004,27
SB-1,I,DT,20885.96345862967,8792.43334946911,77306884.20485662,3316.5249906165845,8029.6238349999985,42562.072495000204,27
SB-1,I,DTwP,3924.85394011115,4454.4666683621745,19842273.299549613,1680.2345196490762,0.0,12269.18799999999,27
SB-1,I,DTwP-Hib,6383.178896518529,5102.224861236596,26032698.534620795,1924.5703194392868,0.0,16102.197594000003,27
SB-1,I,HPV,189597.13085185183,28064.442057646364,787612908.00699,10585.968608737337,130776.97699999996,239917.1175,27
SB-1,I,HepB,22300.014401851848,17452.817822510922,304600849.94575495,6583.24085772353,0.0,50703.19064,27
SB-1,I,Hexa,4496.345636888881,5111.442418661575,26126843.599292897,1928.047202156201,0.0,16061.90311799994,27
SB-1,I,IPV,19837.857844333335,9670.222583481616,93513204.81407785,3647.62899964185,6824.599141999997,38345.363559,27
SB-1,I,OPV,9743.914000481482,7842.745223250189,61508652.636813655,2958.300563008377,0.0,21359.166021,27
SB-1,I,PCV,1171019.1002222223,438926.82576659805,192656758377.54153,165564.153727117,893569.985,3356828.8580000005,27
SB-1,I,Penta,28521.761062851874,10005.380588547245,100107640.721678,3774.0513284130398,10228.419779999998,47917.84752799999,27
SB-1,I,Rotavirus,8416.700671037028,2275.38118027129,5177359.515532768,858.2787321332431,3532.79,13516.234999999997,27
SB-1,I,TT,288.5499120740756,586.3549321101405,343812.1064098874,221.17435622437682,0.0,2304.78,27
SB-1,I,Td,3451.2687485555707,3855.739852308943,14866729.808683388,1454.3934618817475,0.0,14502.158166000032,27
SB-1,S,TOTAL,3305703.095620531,567237.8705120297,321758801743.0222,213963.35899331802,2155335.1959299995,4254765.776269998,27
SB-1,S,Diphtheria,904404.7147265638,405188.46343994414,164177690904.82297,152837.97004719396,78510.12592999969,1699040.5159299993,27
SB-1,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,27
SB-1,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,27
SB-1,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,27
SB-1,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,27
SB-1,S,Pertussis,3770.6681481481464,12017.875343282054,144429327.76666674,4533.16872882709,0.0,47320.28999999996,27
SB-1,S,Polio,70130.9229088865,154267.3216541566,23798406530.347015,58189.969393670726,0.0,699803.3744099992,27
