model,variable,category,mean,std,variance,ci95,min,max,n
UG-3-buyer,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-buyer,S,Hib,170673.76004866618,170145.5848120406,28949520031.031296,60885.815576155845,0.0,537271.0662599998,30
UG-3-buyer,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-buyer,S,Pertussis,4827.891999999998,15122.7475426816,228697493.23968238,5411.6057075805875,0.0,75484.04999999994,30
UG-3-buyer,S,Polio,156633.05153833225,226625.972004203,51359331186.84981,81097.06256238102,0.0,983103.0544099987,30
UG-3-buyer,S,Rotavirus,1384533.042617,220810.66018581623,48757347651.69601,79016.07995396788,984177.8944099962,1823944.029999999,30
UG-3-buyer,S,Tetanus,1726707.1528459983,422410.6428656605,178430751206.18054,151157.70725015018,751023.7059299995,2654510.3059299993,30
UG-3-producer,I,TOTAL,1527103.5068460738,92623.05316283215,8579029977.20483,33144.73390069181,1377439.3118632687,1735961.4579877453,30
UG-3-producer,I,DT,19609.21497443332,9742.049453410908,94907527.55270377,3486.1476247498317,7311.620834999996,54684.79757800002,30
UG-3-producer,I,DTwP,3611.584599233334,6339.143157581064,40184735.97230682,2268.4332457389605,0.0,22107.32594300003,30
UG-3-producer,I,DTwP-Hib,15627.577560700001,4204.5117289186865,17677918.878614802,1504.5651992528897,6585.174571999991,22509.796792,30
UG-3-producer,I,HPV,188661.73928118483,11725.35186313177,137483876.31424764,4195.863277280031,166665.22333054343,211456.28415920408,30
UG-3-producer,I,HepB,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-producer,I,Hexa,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-producer,I,IPV,39732.415638917344,38942.36219432131,1516507573.2737052,13935.345341359223,0.0,156395.73361399997,30
UG-3-producer,I,OPV,48795.942268053026,21848.32590045994,477349344.65270865,7818.323013745436,8429.316764847954,66052.048063,30
UG-3-producer,I,PCV,1092387.6751704023,77363.32523576298,5985084091.534441,27684.11039208756,908361.2259561729,1241156.4617673163,30
UG-3-producer,I,Penta,70547.69349191648,17010.06582474396,289342339.3621225,6086.973881148523,39995.81817599999,112678.072704,30
UG-3-producer,I,Rotavirus,14770.062633333331,4356.057027820476,18975232.82962416,1558.794987998573,11204.789999999999,26680.333999999995,30
UG-3-producer,I,TT,4099.22255843333,7790.104530327458,60685728.59342838,2787.6531047012436,0.0,40754.9160260001,30
UG-3-producer,I,Td,29260.37866946666,20589.877376389974,423943050.37477565,7367.99299293853,4421.887539999998,110253.01655399997,30
UG-3-producer,S,TOTAL,2373383.5177408354,454418.54820362927,206496216951.49414,162611.58907458594,1631015.16779,3261921.281859999,30
UG-3-producer,S,Diphtheria,599768.4966936666,338893.9066976276,114849079996.78035,121271.62703556994,0.0,1312069.5959299998,30
UG-3-producer,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-producer,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-producer,S,Hib,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-producer,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-producer,S,Pertussis,10627.502666666664,24261.01398195988,588596799.4328529,8681.69235556687,0.0,103576.21999999997,30
UG-3-producer,S,Polio,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-3-producer,S,Rotavirus,939912.4483333334,152011.36650545025,23107455546.85432,54396.5688957173,685682.32,1330930.49,30
UG-3-producer,S,Tetanus,823075.0700471683,391704.4157794973,153432349341.1573,140169.62500591797,3144.7299999999814,1720964.6459299996,30
