unit,values,type,pair_idx,pair,pair_probability
Pfizer,"[83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Sanofi,"[87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Serum_Institute,"[587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0]",manufacturer,2,Demand: 3 - Capacity: base_capacity,0.2542236
Diphtheria,"[581444300 522983000 801296600 736455500 916074700 1022240500 1063939700
 1058865900 1526287500 1601795000]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
HPV,"[30633600 37216400 42703400 48271500 52131400 55329100 66802400 74145900
 74147500 78883700]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Hepatitis_B,"[415970900 388180600 350262100 375166800 420410400 487360500 434906700
 467342200 409724600 533443100]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Hib,"[299433200 287933700 348688600 338043300 377829100 364540600 382140000
 399816100 426025300 454071000]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Measles,"[570665100 559310700 614308200 543124700 687344900 579170800 1053447000
 690158000 330757900 1120540100]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Mumps,"[29915900 42880800 32573500 30876900 54989500 41453200 38535600 66882700
 69737100 96361100]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
PCV,"[222556200 268654200 273946800 321722700 444595800 369710800 381844400
 455529100 470730400 902895300]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Pertussis,"[360214500 360608200 378381300 414326900 340761600 341426400 390099300
 424364000 451424300 392313700]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Polio,"[652386500 643240100 574863000 726677800 753423000 877586600 739684000
 803043500 849221900 738018800]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Rotavirus,"[206578800 244793900 275584600 265721000 139046400 355831000 449939800
 601532300 804202600 1278199400]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Rubella,"[408826200 494397000 495553000 584674400 458533300 615968200 607172500
 957920600 1168859200 578260000]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Tetanus,"[665307800 615563200 655205600 718497200 629880900 631721600 684434000
 624472400 706152200 551363400]",antigen,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
AJ_Vaccines,"[7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
BB_NCIPD,"[39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Bharat_Biotech,"[61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Bilthoven,"[12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Biological_E,"[164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
China_National,"[12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
GSK,"[226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Haffkine_Bio,"[80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
LG_Chem,"[43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Merck_Sharp,"[56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
PT_Bio,"[45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0, 45911731.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Panacea_Biotec,"[10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0, 10874165.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Pfizer,"[83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0, 83916974.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Sanofi,"[87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0, 87429432.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Serum_Institute,"[587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0, 587114096.0]",manufacturer,3,Demand: 5 - Capacity: base_capacity,0.3148332000000001
Diphtheria,"[711050900 679613900 917355100 836818100 746278900 922058400 1426859000
 1175127700 973057200 683673500]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
HPV,"[29266600 35276000 39728900 46412200 53476900 58358000 66330900 72908300
 75298300 90917800]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Hepatitis_B,"[313064100 382531200 437092100 429619500 393742900 369097400 442800200
 528674500 443817200 451808800]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Hib,"[286677800 306061700 285422200 361438000 341935900 360397500 372502800
 382097300 409937600 418451200]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Measles,"[518619900 375746400 398902700 542762500 713609600 811118000 736873900
 888747300 907113900 1156756300]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Mumps,"[30963300 26656000 28518400 31697300 36449300 57974700 42272200 43307200
 42762600 62740800]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
PCV,"[230807600 252874000 253518100 358761500 378449000 338860200 414534900
 389114800 490285100 600132100]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Pertussis,"[377184400 390393100 371773400 340315800 366275200 384359400 367113300
 405201700 364753200 404717500]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Polio,"[608569400 624020000 553923300 730725000 729740400 776213400 853164200
 874966100 822064900 926389900]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Rotavirus,"[202102100 155841000 236069900 312315400 307625200 297413300 443961600
 554686000 622167600 824016700]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Rubella,"[325694200 395129200 347429400 601371100 523107200 513020400 709081300
 680422400 789246000 777607700]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
Tetanus,"[663050300 640523300 688976600 667612000 592749800 672927700 695883700
 735641400 733819100 737757700]",antigen,4,Demand: 2 - Capacity: base_capacity,0.1077504
AJ_Vaccines,"[7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0, 7711003.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
BB_NCIPD,"[39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0, 39223956.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Bharat_Biotech,"[61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0, 61029105.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Bilthoven,"[12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0, 12048153.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Biological_E,"[164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0, 164885690.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
China_National,"[12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0, 12812242.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
GSK,"[226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0, 226762686.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Haffkine_Bio,"[80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0, 80972855.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
LG_Chem,"[43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0, 43702188.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
Merck_Sharp,"[56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0, 56991052.0]",manufacturer,4,Demand: 2 - Capacity: base_capacity,0.1077504
