model,variable,category,mean,std,variance,ci95,min,max,n
UG-2-Prod Penta Hexa,I,PCV,1092387.642820436,77363.34658527416,5985087394.873251,27684.118031912018,908361.1842924615,1241156.2042924617,30
UG-2-Prod Penta Hexa,I,Penta,28149.722797000002,7957.610171462177,63323559.6409583,2847.5942285650262,19855.818175999997,46721.617527999995,30
UG-2-Prod Penta Hexa,I,Rotavirus,8366.6699412,1893.634527953634,3585851.7254581824,677.6284131321569,5908.789999999999,10301.29355899999,30
UG-2-Prod Penta Hexa,I,TT,373.4973875333308,695.0645766834176,483114.7657600986,248.7256644138943,0.0,2485.46,30
UG-2-Prod Penta Hexa,I,Td,9658.004052000002,6875.259133003222,47269188.145944215,2460.27988368166,2769.799759,33952.277849999984,30
UG-2-Prod Penta Hexa,S,TOTAL,3569811.85119,575093.5285041941,330732566527.4043,205794.5761814984,2451550.29034,4568538.776269999,30
UG-2-Prod Penta Hexa,S,Diphtheria,871244.7443370001,413024.4384788752,170589186780.7902,147798.89714711264,58858.74999999991,1661861.5959299998,30
UG-2-Prod Penta Hexa,S,HPV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod Penta Hexa,S,Hepatitis_B,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod Penta Hexa,S,Hib,501.3545419999898,2699.876835475383,7289334.926736567,966.1385175800139,0.0,15040.636259999694,30
UG-2-Prod Penta Hexa,S,PCV,0.0,0.0,0.0,0.0,0.0,0.0,30
UG-2-Prod Penta Hexa,S,Pertussis,3914.400666666664,12628.494044291245,159478861.82669944,4519.048556180266,0.0,53512.21999999997,30
UG-2-Prod Penta Hexa,S,Polio,165234.7533519999,212559.5517313159,45181563032.217964,76063.45871366629,0.0,948843.37441,30
UG-2-Prod Penta Hexa,S,Rotavirus,1419481.7263623334,188235.88248878776,35432747456.33271,67359.34546105382,1149519.74,1845360.49,30
UG-2-Prod Penta Hexa,S,Tetanus,1109434.8719300001,405779.0785876945,164656660619.47836,145206.17840801267,169938.10592999996,2013014.6459299996,30
